latitude,longitude,brightness,scan,track,acq_date,acq_time,satellite,instrument,confidence,version,bright_t31,frp,daynight,type
-16.4447,143.5152,321,4.5,2,1/11/2000,0016,Terra,MODIS,62,6.2,300.5,71.6,D,0
-16.4439,143.5076,319.9,4.5,2,1/11/2000,0016,Terra,MODIS,59,6.2,300.6,62.8,D,0
-17.0273,143.8525,322.6,4.1,1.9,1/11/2000,0016,Terra,MODIS,56,6.2,299.7,80.6,D,0
-17.035,143.8907,324,4.1,1.9,1/11/2000,0016,Terra,MODIS,73,6.2,300.2,93.1,D,0
-17.0427,143.9288,320.7,4.1,1.9,1/11/2000,0016,Terra,MODIS,30,6.2,300.6,60.3,D,0
-17.0441,143.8489,326.5,4.1,1.9,1/11/2000,0016,Terra,MODIS,60,6.2,298.8,110.5,D,0
-17.0518,143.8872,322.1,4.1,1.9,1/11/2000,0016,Terra,MODIS,31,6.2,298.9,72.3,D,0
-18.4005,144.9007,318.8,3.2,1.7,1/11/2000,0016,Terra,MODIS,64,6.2,301.5,42.6,D,0
-18.4401,144.8603,317.7,3.3,1.7,1/11/2000,0016,Terra,MODIS,61,6.2,303.2,38.5,D,0
-18.4459,144.8904,324.6,3.2,1.7,1/11/2000,0016,Terra,MODIS,74,6.2,303.1,77.4,D,0
-18.6804,145.547,317.3,2.9,1.6,1/11/2000,0016,Terra,MODIS,54,6.2,299.4,32.8,D,0
-18.8383,143.9129,319.2,3.8,1.8,1/11/2000,0017,Terra,MODIS,62,6.2,300,65.7,D,0
-18.8447,143.9057,316.9,3.8,1.8,1/11/2000,0017,Terra,MODIS,53,6.2,299.3,52.5,D,0
-19.2216,145.0066,318.4,3.1,1.7,1/11/2000,0017,Terra,MODIS,50,6.2,303.2,35.5,D,0
-19.2365,145.0034,317.9,3.1,1.7,1/11/2000,0017,Terra,MODIS,42,6.2,303.4,33.6,D,0
-19.2513,145.0002,317.1,3.1,1.7,1/11/2000,0017,Terra,MODIS,37,6.2,302.7,30.3,D,0
-19.4718,146.0923,319.5,2.5,1.5,1/11/2000,0017,Terra,MODIS,64,6.2,305.3,20.2,D,0
-19.2201,145.001,319.2,3.1,1.7,1/11/2000,0017,Terra,MODIS,33,6.2,303.3,37.6,D,0
-19.4423,144.475,320.3,3.3,1.7,1/11/2000,0017,Terra,MODIS,29,6.2,302.6,47.9,D,0
-19.4483,144.5059,321.7,3.3,1.7,1/11/2000,0017,Terra,MODIS,48,6.2,300.7,56.2,D,0
-19.4434,144.4999,319.3,3.3,1.7,1/11/2000,0017,Terra,MODIS,41,6.2,301.4,45.5,D,0
-19.4586,144.4963,318.7,3.3,1.7,1/11/2000,0017,Terra,MODIS,28,6.2,300,40.4,D,0
