Date,SFD
1/03/2020,1.4682
1/12/2019,1.3523
1/09/2019,1.8785
1/06/2019,1.7534
1/03/2019,2.2681
1/12/2018,4.679
1/09/2018,4.6389
1/06/2018,5.4038
1/03/2018,5.3192
1/12/2017,4.2953
1/09/2017,5.0391
1/06/2017,4.3773
1/03/2017,4.5694
1/12/2016,3.8245
1/09/2016,3.6292
1/06/2016,4.3922
1/03/2016,3.6809
1/12/2015,4.6447
1/09/2015,5.0396
1/06/2015,4.0929
1/03/2015,4.4753
1/12/2014,3.3506
1/09/2014,1.803
1/06/2014,2.2987
1/03/2014,1.2044
1/12/2013,2.8762
1/09/2013,0.6923
1/06/2013,1.0936
1/03/2013,1.0241
1/12/2012,-0.3584
1/09/2012,2.4194
1/06/2012,1.6417
1/03/2012,2.2274
1/12/2011,2.0157
1/09/2011,1.3417
1/06/2011,1.2138
1/03/2011,2.8863
1/12/2010,2.8686
1/09/2010,5.577
1/06/2010,5.3392
1/03/2010,5.2077
1/12/2009,4.0016
1/09/2009,2.1359
1/06/2009,1.2413
1/03/2009,-0.8949
1/12/2008,1.4524
1/09/2008,2.0094
1/06/2008,4.8689
1/03/2008,4.8295
